Simulation Results

planeCapacity,numberOfRows,spaceBetweenRows,seatsInHalfRow,numberOfPassengers,random result,aisle_to_window result,window_to_isle result,front_to_back result,back_to_front result,bestSeatingMode
36,9,4,2,27,55,72,64,93,59,"random"
36,9,4,2,36,92,101,70,122,57,"back_to_front"
54,9,4,3,13,41,40,62,48,50,"aisle_to_window"
54,9,4,3,26,59,85,46,123,63,"window_to_isle"
54,9,4,3,39,96,112,59,161,82,"window_to_isle"
54,9,4,3,52,137,152,103,213,96,"back_to_front"
72,9,4,4,18,68,67,52,76,33,"back_to_front"
36,9,5,2,9,56,44,45,38,17,"back_to_front"
36,9,5,2,18,64,55,53,60,44,"back_to_front"
36,9,5,2,27,66,74,63,110,55,"back_to_front"
36,9,5,2,36,88,83,87,136,66,"back_to_front"
54,9,5,3,13,53,52,58,64,25,"back_to_front"
54,9,5,3,26,78,84,65,108,55,"back_to_front"
54,9,5,3,39,112,124,72,166,56,"back_to_front"
54,9,5,3,52,140,156,85,221,89,"window_to_isle"
72,9,5,4,36,126,130,69,164,81,"window_to_isle"
90,9,5,5,22,52,87,56,114,56,"random"
44,11,1,2,11,34,36,40,65,28,"back_to_front"
44,11,1,2,22,75,75,55,97,40,"back_to_front"
44,11,1,2,33,86,97,72,163,88,"window_to_isle"
44,11,1,2,44,104,131,88,202,159,"window_to_isle"
66,11,1,3,16,49,62,41,70,35,"back_to_front"
66,11,1,3,32,91,115,67,147,92,"window_to_isle"
66,11,1,3,48,131,170,92,221,197,"window_to_isle"
66,11,1,3,64,213,241,120,329,264,"window_to_isle"
88,11,1,4,22,53,77,48,100,69,"window_to_isle"
88,11,1,4,44,155,191,77,224,177,"window_to_isle"
88,11,1,4,66,175,277,125,367,306,"window_to_isle"
88,11,1,4,88,300,379,159,491,420,"window_to_isle"
110,11,1,5,27,93,116,63,141,77,"window_to_isle"
44,11,2,2,11,33,53,32,57,26,"back_to_front"
44,11,2,2,22,53,71,64,104,42,"back_to_front"
44,11,2,2,33,71,96,66,133,51,"back_to_front"
44,11,2,2,44,88,114,84,167,99,"window_to_isle"
66,11,2,3,16,58,64,54,85,35,"back_to_front"
66,11,2,3,32,86,104,68,156,64,"back_to_front"
66,11,2,3,48,117,133,95,211,121,"window_to_isle"
66,11,2,3,64,166,196,117,307,206,"window_to_isle"
88,11,2,4,22,64,70,55,106,45,"back_to_front"
88,11,2,4,44,120,167,89,171,104,"window_to_isle"
88,11,2,4,66,172,245,124,311,229,"window_to_isle"
44,11,3,2,11,33,39,50,62,37,"random"
44,11,3,2,22,61,65,50,87,47,"back_to_front"
44,11,3,2,33,72,97,78,133,58,"back_to_front"
44,11,3,2,44,112,107,93,179,71,"back_to_front"
66,11,3,3,16,60,71,47,82,49,"window_to_isle"
66,11,3,3,32,80,95,54,139,77,"window_to_isle"
66,11,3,3,48,101,139,81,203,87,"window_to_isle"
66,11,3,3,64,153,181,121,292,136,"window_to_isle"
88,11,3,4,22,58,76,51,72,71,"window_to_isle"
110,11,3,5,27,71,101,80,120,58,"back_to_front"
44,11,4,2,11,66,37,55,47,57,"aisle_to_window"
44,11,4,2,22,84,79,66,84,66,"window_to_isle"
44,11,4,2,33,79,89,81,143,57,"back_to_front"
44,11,4,2,44,118,108,95,131,66,"back_to_front"
66,11,4,3,16,58,52,36,81,31,"back_to_front"
66,11,4,3,32,107,87,88,142,76,"back_to_front"
66,11,4,3,48,103,126,86,195,77,"back_to_front"
66,11,4,3,64,160,200,110,293,125,"window_to_isle"
44,11,5,2,11,69,53,74,43,18,"back_to_front"
44,11,5,2,22,68,68,59,92,53,"back_to_front"
44,11,5,2,33,99,116,83,136,72,"back_to_front"
44,11,5,2,44,149,125,97,181,70,"back_to_front"
66,11,5,3,16,79,74,75,95,38,"back_to_front"
66,11,5,3,32,91,92,74,98,71,"back_to_front"
66,11,5,3,48,118,166,95,215,73,"back_to_front"
66,11,5,3,64,151,181,118,289,95,"back_to_front"
88,11,5,4,22,76,95,67,98,53,"back_to_front"
52,13,1,2,13,48,46,42,70,34,"back_to_front"
52,13,1,2,26,74,86,68,133,61,"back_to_front"
52,13,1,2,39,82,120,87,162,100,"random"
52,13,1,2,52,141,166,101,209,136,"window_to_isle"
78,13,1,3,19,61,64,53,101,38,"back_to_front"
78,13,1,3,38,101,125,88,162,106,"window_to_isle"
78,13,1,3,57,128,194,112,322,202,"window_to_isle"
78,13,1,3,76,224,262,134,413,291,"window_to_isle"
104,13,1,4,26,86,88,66,137,48,"back_to_front"
104,13,1,4,52,160,191,106,242,155,"window_to_isle"
104,13,1,4,78,216,280,136,477,329,"window_to_isle"
104,13,1,4,104,362,475,178,658,551,"window_to_isle"
130,13,1,5,32,107,120,69,156,68,"back_to_front"
130,13,1,5,64,185,264,126,379,253,"window_to_isle"
52,13,2,2,13,53,57,50,55,40,"back_to_front"
52,13,2,2,26,66,88,68,115,49,"back_to_front"
52,13,2,2,39,101,93,80,148,66,"back_to_front"
52,13,2,2,52,139,123,95,224,101,"window_to_isle"
78,13,2,3,19,67,87,55,76,43,"back_to_front"
78,13,2,3,38,116,132,82,163,85,"window_to_isle"
78,13,2,3,57,144,173,111,223,148,"window_to_isle"
78,13,2,3,76,188,246,127,363,217,"window_to_isle"
104,13,2,4,26,63,92,70,124,55,"back_to_front"
104,13,2,4,78,203,258,134,445,262,"window_to_isle"
52,13,3,2,13,32,51,46,62,53,"random"
52,13,3,2,26,75,76,62,109,48,"back_to_front"
52,13,3,2,39,105,99,95,155,67,"back_to_front"
52,13,3,2,52,119,131,97,198,86,"back_to_front"
78,13,3,3,19,61,68,63,108,55,"back_to_front"
78,13,3,3,38,109,114,84,162,71,"back_to_front"
78,13,3,3,57,139,168,119,229,109,"back_to_front"
78,13,3,3,76,187,205,135,353,182,"window_to_isle"
104,13,3,4,52,132,158,104,219,89,"back_to_front"
104,13,3,4,78,188,236,141,370,179,"window_to_isle"
130,13,3,5,32,104,100,67,146,59,"back_to_front"
52,13,4,2,13,65,43,67,75,57,"aisle_to_window"
52,13,4,2,26,77,80,62,101,64,"window_to_isle"
52,13,4,2,39,98,106,96,142,77,"back_to_front"
52,13,4,2,52,113,134,118,167,74,"back_to_front"
78,13,4,3,19,53,87,61,96,59,"random"
78,13,4,3,38,128,114,94,182,78,"back_to_front"
78,13,4,3,57,128,190,118,240,91,"back_to_front"
78,13,4,3,76,171,215,137,347,129,"back_to_front"
104,13,4,4,26,86,109,68,144,79,"window_to_isle"
130,13,4,5,32,78,115,67,121,69,"window_to_isle"
52,13,5,2,13,41,45,31,89,70,"window_to_isle"
52,13,5,2,26,78,75,101,106,50,"back_to_front"
52,13,5,2,39,104,115,123,155,91,"back_to_front"
52,13,5,2,52,149,158,98,174,81,"back_to_front"
78,13,5,3,19,87,99,79,100,75,"back_to_front"
78,13,5,3,38,107,111,82,168,87,"window_to_isle"
78,13,5,3,57,139,176,113,214,103,"back_to_front"
78,13,5,3,76,143,188,146,323,112,"back_to_front"
104,13,5,4,26,109,87,74,110,78,"window_to_isle"
60,15,1,2,15,62,64,53,72,41,"back_to_front"
60,15,1,2,30,87,100,66,141,60,"back_to_front"
60,15,1,2,45,94,122,93,207,119,"window_to_isle"
60,15,1,2,60,143,165,116,252,192,"window_to_isle"
90,15,1,3,22,64,80,58,102,56,"back_to_front"
90,15,1,3,44,137,134,85,225,131,"window_to_isle"
90,15,1,3,66,173,242,127,339,245,"window_to_isle"
90,15,1,3,88,240,325,163,516,361,"window_to_isle"
120,15,1,4,30,83,94,79,153,48,"back_to_front"
120,15,1,4,60,188,228,119,316,233,"window_to_isle"
120,15,1,4,90,248,283,160,513,475,"window_to_isle"
120,15,1,4,120,379,495,198,744,622,"window_to_isle"
150,15,1,5,74,213,286,129,428,304,"window_to_isle"
60,15,2,2,15,60,71,58,63,39,"back_to_front"
60,15,2,2,30,71,82,78,119,62,"back_to_front"
60,15,2,2,45,97,115,98,160,66,"back_to_front"
60,15,2,2,60,139,156,109,208,124,"window_to_isle"
90,15,2,3,22,72,63,63,99,47,"back_to_front"
90,15,2,3,44,102,133,90,184,89,"back_to_front"
90,15,2,3,66,156,185,127,270,156,"window_to_isle"
90,15,2,3,88,205,232,145,405,285,"window_to_isle"
120,15,2,4,30,85,93,79,109,48,"back_to_front"
120,15,2,4,60,190,184,110,272,146,"window_to_isle"
120,15,2,4,90,229,297,164,465,290,"window_to_isle"
120,15,2,4,120,308,401,202,662,535,"window_to_isle"
60,15,3,2,15,76,66,41,87,59,"window_to_isle"
60,15,3,2,30,102,100,84,136,66,"back_to_front"
60,15,3,2,45,104,121,103,176,73,"back_to_front"
60,15,3,2,60,131,151,114,227,95,"back_to_front"
90,15,3,3,22,79,86,66,92,73,"window_to_isle"
90,15,3,3,44,126,150,95,165,69,"back_to_front"
90,15,3,3,66,161,165,136,288,110,"back_to_front"
90,15,3,3,88,208,244,119,381,205,"window_to_isle"
120,15,3,4,30,94,90,82,127,62,"back_to_front"
150,15,3,5,37,91,116,85,153,87,"window_to_isle"
60,15,4,2,15,69,49,40,97,52,"window_to_isle"
60,15,4,2,30,100,60,99,127,86,"aisle_to_window"
60,15,4,2,45,115,117,120,170,83,"back_to_front"
60,15,4,2,60,164,140,138,230,88,"back_to_front"
90,15,4,3,22,80,96,74,96,69,"back_to_front"
90,15,4,3,44,145,140,96,166,72,"back_to_front"
90,15,4,3,66,161,193,128,256,109,"back_to_front"
90,15,4,3,88,190,226,162,370,147,"back_to_front"
60,15,5,2,15,89,80,51,93,92,"window_to_isle"
60,15,5,2,30,93,99,106,113,94,"random"
60,15,5,2,45,129,106,124,163,74,"back_to_front"
60,15,5,2,60,147,156,137,229,99,"back_to_front"
90,15,5,3,22,68,84,92,121,67,"back_to_front"
90,15,5,3,44,139,104,121,164,87,"back_to_front"
90,15,5,3,66,163,188,134,310,114,"back_to_front"
90,15,5,3,88,185,231,176,356,126,"back_to_front"
120,15,5,4,30,92,107,118,121,96,"random"
120,15,5,4,60,198,162,156,254,121,"back_to_front"
68,17,1,2,17,64,78,59,77,43,"back_to_front"
68,17,1,2,34,89,115,89,148,52,"back_to_front"
68,17,1,2,51,126,155,105,244,114,"window_to_isle"
68,17,1,2,68,181,195,139,314,209,"window_to_isle"
102,17,1,3,25,81,99,73,123,50,"back_to_front"
102,17,1,3,50,113,177,103,222,145,"window_to_isle"
102,17,1,3,75,184,228,141,360,265,"window_to_isle"
102,17,1,3,100,281,331,176,565,403,"window_to_isle"
136,17,1,4,34,108,103,76,140,54,"back_to_front"
136,17,1,4,68,220,238,122,344,219,"window_to_isle"
136,17,1,4,102,292,377,183,560,437,"window_to_isle"
136,17,1,4,136,397,518,234,865,741,"window_to_isle"
170,17,1,5,126,338,528,214,798,749,"window_to_isle"
68,17,2,2,17,66,60,70,61,48,"back_to_front"
68,17,2,2,34,72,92,89,121,60,"back_to_front"
68,17,2,2,51,123,144,108,185,78,"back_to_front"
68,17,2,2,68,163,150,131,252,118,"back_to_front"
102,17,2,3,25,96,72,58,99,53,"back_to_front"
102,17,2,3,50,132,151,96,222,87,"back_to_front"
102,17,2,3,75,193,212,132,345,185,"window_to_isle"
102,17,2,3,100,288,283,159,451,303,"window_to_isle"
136,17,2,4,34,116,95,96,113,65,"back_to_front"
136,17,2,4,68,180,211,126,339,169,"window_to_isle"
136,17,2,4,136,323,431,214,791,568,"window_to_isle"
68,17,3,2,17,59,76,73,86,63,"random"
