Simulation Results

planeCapacity,numberOfRows,spaceBetweenRows,seatsInHalfRow,numberOfPassengers,random result,aisle_to_window result,window_to_isle result,front_to_back result,back_to_front result,bestSeatingMode
156,39,4,2,117,304,337,253,449,203,"back_to_front"
156,39,4,2,156,358,351,346,529,208,"back_to_front"
234,39,4,3,58,242,252,239,271,183,"back_to_front"
234,39,4,3,116,268,347,280,476,209,"back_to_front"
234,39,4,3,174,431,394,335,686,244,"back_to_front"
234,39,4,3,232,486,549,377,1048,345,"back_to_front"
156,39,5,2,39,196,255,168,265,237,"window_to_isle"
156,39,5,2,78,320,269,277,334,235,"back_to_front"
156,39,5,2,117,386,368,276,413,188,"back_to_front"
156,39,5,2,156,416,391,369,579,239,"back_to_front"
234,39,5,3,58,265,271,257,313,228,"back_to_front"
234,39,5,3,116,302,336,332,477,196,"back_to_front"
234,39,5,3,174,386,480,361,705,256,"back_to_front"
234,39,5,3,232,431,536,464,1018,306,"back_to_front"
164,41,1,2,41,134,148,131,201,89,"back_to_front"
164,41,1,2,82,207,224,178,361,139,"back_to_front"
164,41,1,2,123,260,316,230,527,295,"window_to_isle"
164,41,1,2,164,357,381,283,785,478,"window_to_isle"
246,41,1,3,61,171,198,145,298,100,"back_to_front"
246,41,1,3,122,296,304,236,568,342,"window_to_isle"
246,41,1,3,183,406,455,311,915,728,"window_to_isle"
246,41,1,3,244,515,621,394,1340,1018,"window_to_isle"
328,41,1,4,82,201,211,178,406,134,"back_to_front"
328,41,1,4,164,353,452,283,895,554,"window_to_isle"
328,41,1,4,246,587,685,374,1411,1078,"window_to_isle"
328,41,1,4,328,761,955,496,2011,1682,"window_to_isle"
164,41,2,2,41,172,143,170,207,125,"back_to_front"
164,41,2,2,82,201,242,192,335,126,"back_to_front"
164,41,2,2,123,283,294,245,465,171,"back_to_front"
164,41,2,2,164,336,332,307,655,323,"window_to_isle"
246,41,2,3,61,208,190,183,291,127,"back_to_front"
246,41,2,3,122,317,327,255,493,185,"back_to_front"
246,41,2,3,183,361,469,315,829,400,"window_to_isle"
246,41,2,3,244,536,541,408,1131,797,"window_to_isle"
328,41,2,4,164,350,408,303,731,342,"window_to_isle"
164,41,3,2,41,203,186,192,232,141,"back_to_front"
164,41,3,2,82,236,260,251,320,167,"back_to_front"
164,41,3,2,123,307,300,271,455,182,"back_to_front"
164,41,3,2,164,344,370,321,621,238,"back_to_front"
246,41,3,3,61,206,224,215,275,158,"back_to_front"
246,41,3,3,122,283,320,265,487,181,"back_to_front"
246,41,3,3,183,414,432,368,802,307,"back_to_front"
246,41,3,3,244,498,517,394,1140,525,"window_to_isle"
164,41,4,2,41,226,233,215,249,195,"back_to_front"
164,41,4,2,82,292,276,258,362,221,"back_to_front"
164,41,4,2,123,309,307,308,530,208,"back_to_front"
164,41,4,2,164,360,373,372,607,215,"back_to_front"
246,41,4,3,61,238,249,209,275,194,"back_to_front"
246,41,4,3,122,315,373,255,497,217,"back_to_front"
246,41,4,3,183,416,464,379,770,241,"back_to_front"
246,41,4,3,244,513,548,441,1067,425,"back_to_front"
164,41,5,2,41,231,253,241,260,120,"back_to_front"
164,41,5,2,82,302,296,280,383,210,"back_to_front"
164,41,5,2,123,360,386,313,485,251,"back_to_front"
164,41,5,2,164,428,433,383,585,256,"back_to_front"
246,41,5,3,61,261,264,292,297,241,"back_to_front"
246,41,5,3,122,313,368,331,487,241,"back_to_front"
246,41,5,3,183,442,455,400,725,277,"back_to_front"
246,41,5,3,244,527,597,479,1126,313,"back_to_front"
172,43,1,2,43,146,149,136,214,100,"back_to_front"
172,43,1,2,86,217,226,201,382,124,"back_to_front"
172,43,1,2,129,271,316,241,583,339,"window_to_isle"
172,43,1,2,172,349,428,292,771,525,"window_to_isle"
258,43,1,3,64,187,204,152,322,94,"back_to_front"
258,43,1,3,128,327,332,248,620,325,"window_to_isle"
258,43,1,3,192,419,502,312,933,698,"window_to_isle"
258,43,1,3,256,550,662,391,1383,1144,"window_to_isle"
344,43,1,4,86,232,217,182,427,143,"back_to_front"
344,43,1,4,172,440,454,308,845,572,"window_to_isle"
344,43,1,4,258,567,715,409,1529,1167,"window_to_isle"
344,43,1,4,344,769,964,531,2137,1839,"window_to_isle"
172,43,2,2,43,171,174,156,213,135,"back_to_front"
172,43,2,2,86,215,265,207,344,142,"back_to_front"
172,43,2,2,129,269,311,258,510,182,"back_to_front"
172,43,2,2,172,354,383,314,651,313,"back_to_front"
258,43,2,3,64,202,171,171,304,134,"back_to_front"
258,43,2,3,128,315,337,279,500,191,"back_to_front"
258,43,2,3,192,424,476,318,879,439,"window_to_isle"
258,43,2,3,256,505,555,400,1185,731,"window_to_isle"
172,43,3,2,43,223,217,208,235,157,"back_to_front"
172,43,3,2,86,268,258,231,350,183,"back_to_front"
172,43,3,2,129,315,327,309,489,183,"back_to_front"
172,43,3,2,172,377,370,358,602,257,"back_to_front"
258,43,3,3,64,229,226,221,275,166,"back_to_front"
258,43,3,3,128,317,334,293,538,185,"back_to_front"
258,43,3,3,192,404,465,380,798,305,"back_to_front"
258,43,3,3,256,545,598,410,1180,554,"window_to_isle"
344,43,3,4,86,267,288,262,386,163,"back_to_front"
344,43,3,4,172,420,435,343,748,225,"back_to_front"
172,43,4,2,43,230,238,188,249,189,"window_to_isle"
172,43,4,2,86,281,276,284,347,189,"back_to_front"
172,43,4,2,129,325,331,330,468,218,"back_to_front"
172,43,4,2,172,424,410,373,641,229,"back_to_front"
258,43,4,3,64,243,252,257,298,204,"back_to_front"
258,43,4,3,128,357,387,323,560,225,"back_to_front"
258,43,4,3,192,395,482,375,788,250,"back_to_front"
258,43,4,3,256,546,572,464,1171,421,"back_to_front"
344,43,4,4,86,303,323,257,371,218,"back_to_front"
172,43,5,2,43,283,197,263,296,230,"aisle_to_window"
172,43,5,2,86,294,350,303,376,250,"back_to_front"
172,43,5,2,129,398,280,339,533,262,"back_to_front"
172,43,5,2,172,460,451,383,660,267,"back_to_front"
258,43,5,3,64,305,308,267,327,238,"back_to_front"
258,43,5,3,128,374,370,356,526,234,"back_to_front"
258,43,5,3,192,480,504,386,844,276,"back_to_front"
258,43,5,3,256,567,590,493,1144,333,"back_to_front"
180,45,1,2,45,158,147,150,242,93,"back_to_front"
180,45,1,2,90,248,247,200,387,147,"back_to_front"
180,45,1,2,135,293,331,252,615,357,"window_to_isle"
180,45,1,2,180,393,402,314,831,570,"window_to_isle"
270,45,1,3,67,182,214,163,321,109,"back_to_front"
270,45,1,3,134,307,335,257,652,384,"window_to_isle"
270,45,1,3,201,461,497,356,974,731,"window_to_isle"
270,45,1,3,268,586,697,434,1425,1103,"window_to_isle"
360,45,1,4,90,227,267,191,454,172,"back_to_front"
360,45,1,4,180,415,477,309,991,638,"window_to_isle"
360,45,1,4,270,623,745,438,1548,1243,"window_to_isle"
360,45,1,4,360,860,978,529,2213,1999,"window_to_isle"
180,45,2,2,45,153,187,161,233,120,"back_to_front"
180,45,2,2,90,252,261,218,395,161,"back_to_front"
180,45,2,2,135,313,347,289,500,189,"back_to_front"
180,45,2,2,180,361,388,322,690,344,"window_to_isle"
270,45,2,3,67,235,219,199,312,147,"back_to_front"
270,45,2,3,134,337,352,274,573,210,"back_to_front"
270,45,2,3,201,413,446,355,914,434,"window_to_isle"
270,45,2,3,268,537,654,439,1222,753,"window_to_isle"
360,45,2,4,180,405,440,346,807,410,"window_to_isle"
180,45,3,2,45,184,185,184,245,179,"back_to_front"
180,45,3,2,90,258,275,238,350,186,"back_to_front"
180,45,3,2,135,315,370,266,503,196,"back_to_front"
180,45,3,2,180,391,389,347,690,276,"back_to_front"
270,45,3,3,67,234,258,250,311,190,"back_to_front"
270,45,3,3,134,299,343,317,576,194,"back_to_front"
270,45,3,3,201,451,457,381,850,275,"back_to_front"
270,45,3,3,268,536,601,433,1186,611,"window_to_isle"
180,45,4,2,45,240,226,194,258,218,"window_to_isle"
180,45,4,2,90,271,267,299,368,213,"back_to_front"
180,45,4,2,135,346,353,330,527,231,"back_to_front"
180,45,4,2,180,407,426,390,635,237,"back_to_front"
270,45,4,3,67,294,275,230,329,200,"back_to_front"
270,45,4,3,134,322,370,329,577,229,"back_to_front"
270,45,4,3,201,436,487,413,775,258,"back_to_front"
270,45,4,3,268,570,681,503,1192,461,"back_to_front"
180,45,5,2,45,308,231,269,296,217,"back_to_front"
180,45,5,2,90,308,337,290,354,263,"back_to_front"
180,45,5,2,135,421,435,372,529,281,"back_to_front"
180,45,5,2,180,488,478,413,623,282,"back_to_front"
270,45,5,3,67,287,310,296,363,274,"back_to_front"
270,45,5,3,134,358,420,396,519,281,"back_to_front"
270,45,5,3,201,486,520,460,880,302,"back_to_front"
270,45,5,3,268,608,571,460,1190,339,"back_to_front"
188,47,1,2,47,160,148,153,233,92,"back_to_front"
188,47,1,2,94,223,253,208,407,144,"back_to_front"
188,47,1,2,141,302,355,270,651,358,"window_to_isle"
188,47,1,2,188,404,433,322,824,547,"window_to_isle"
282,47,1,3,70,188,206,185,347,105,"back_to_front"
282,47,1,3,140,290,370,260,656,387,"window_to_isle"
282,47,1,3,210,475,544,372,1082,764,"window_to_isle"
282,47,1,3,280,635,702,427,1578,1131,"window_to_isle"
376,47,1,4,94,237,279,194,430,151,"back_to_front"
376,47,1,4,188,464,464,327,949,707,"window_to_isle"
376,47,1,4,282,594,755,416,1652,1287,"window_to_isle"
376,47,1,4,376,811,1045,556,2507,1967,"window_to_isle"
188,47,2,2,47,165,177,159,240,140,"back_to_front"
188,47,2,2,94,240,259,238,376,151,"back_to_front"
188,47,2,2,141,326,334,296,528,185,"back_to_front"
188,47,2,2,188,417,427,327,734,369,"window_to_isle"
282,47,2,3,70,201,261,190,290,148,"back_to_front"
282,47,2,3,140,358,354,291,603,173,"back_to_front"
282,47,2,3,210,439,502,362,912,497,"window_to_isle"
282,47,2,3,280,555,663,459,1306,836,"window_to_isle"
376,47,2,4,94,246,274,240,456,161,"back_to_front"
188,47,3,2,47,239,232,188,267,187,"back_to_front"
188,47,3,2,94,281,330,247,359,203,"back_to_front"
188,47,3,2,141,304,349,335,561,195,"back_to_front"
188,47,3,2,188,404,407,380,729,268,"back_to_front"
282,47,3,3,70,256,253,262,346,191,"back_to_front"
282,47,3,3,140,344,389,305,597,193,"back_to_front"
282,47,3,3,210,421,488,413,884,308,"back_to_front"
282,47,3,3,280,553,587,469,1290,603,"window_to_isle"
188,47,4,2,47,217,248,240,228,233,"random"
188,47,4,2,94,287,281,267,401,233,"back_to_front"
188,47,4,2,141,390,411,365,572,233,"back_to_front"
188,47,4,2,188,432,481,371,663,245,"back_to_front"
282,47,4,3,70,283,284,265,347,243,"back_to_front"
282,47,4,3,140,340,369,368,548,247,"back_to_front"
282,47,4,3,210,535,483,441,820,278,"back_to_front"
282,47,4,3,280,598,636,481,1235,457,"back_to_front"
188,47,5,2,47,303,306,252,356,289,"window_to_isle"
188,47,5,2,94,328,362,378,435,290,"back_to_front"
188,47,5,2,141,413,439,414,557,280,"back_to_front"
188,47,5,2,188,463,445,410,687,285,"back_to_front"
282,47,5,3,70,317,296,306,367,265,"back_to_front"
282,47,5,3,140,419,425,338,580,275,"back_to_front"
282,47,5,3,210,532,508,432,946,300,"back_to_front"
282,47,5,3,280,575,636,549,1185,338,"back_to_front"
376,47,5,4,94,330,363,316,438,300,"back_to_front"
196,49,1,2,49,166,166,166,243,108,"back_to_front"
196,49,1,2,98,227,239,224,449,155,"back_to_front"
196,49,1,2,147,322,351,278,628,374,"window_to_isle"
196,49,1,2,196,385,425,348,871,553,"window_to_isle"
294,49,1,3,73,206,237,178,365,128,"back_to_front"
294,49,1,3,146,318,337,271,694,415,"window_to_isle"
294,49,1,3,219,490,505,375,1103,809,"window_to_isle"
294,49,1,3,292,609,752,460,1500,1221,"window_to_isle"
392,49,1,4,98,244,262,222,460,166,"back_to_front"
392,49,1,4,196,407,514,330,1018,725,"window_to_isle"
392,49,1,4,294,606,831,470,1708,1317,"window_to_isle"
392,49,1,4,392,899,1079,598,2578,2088,"window_to_isle"
196,49,2,2,49,196,205,169,233,151,"back_to_front"
196,49,2,2,98,245,265,225,393,158,"back_to_front"
196,49,2,2,147,339,323,294,527,210,"back_to_front"
196,49,2,2,196,392,416,348,763,358,"window_to_isle"
294,49,2,3,73,201,222,234,327,149,"back_to_front"
294,49,2,3,146,349,351,322,626,221,"back_to_front"
294,49,2,3,219,468,517,389,976,534,"window_to_isle"
294,49,2,3,292,579,673,461,1377,888,"window_to_isle"
392,49,2,4,98,249,303,248,434,146,"back_to_front"
196,49,3,2,49,230,234,221,269,196,"back_to_front"
196,49,3,2,98,303,288,277,393,210,"back_to_front"
196,49,3,2,147,325,354,351,546,209,"back_to_front"
196,49,3,2,196,432,445,396,733,294,"back_to_front"
294,49,3,3,73,249,268,253,348,193,"back_to_front"
294,49,3,3,146,393,391,335,636,229,"back_to_front"
294,49,3,3,219,524,493,381,883,322,"back_to_front"
294,49,3,3,292,564,614,503,1368,623,"window_to_isle"
196,49,4,2,49,300,249,256,292,223,"back_to_front"
196,49,4,2,98,319,338,337,365,253,"back_to_front"
196,49,4,2,147,389,386,366,546,257,"back_to_front"
196,49,4,2,196,470,480,439,702,259,"back_to_front"
294,49,4,3,73,246,347,295,331,192,"back_to_front"
294,49,4,3,146,396,388,398,592,250,"back_to_front"
294,49,4,3,219,481,558,461,876,283,"back_to_front"
294,49,4,3,292,575,676,543,1297,483,"back_to_front"
196,49,5,2,49,262,281,249,345,240,"back_to_front"
196,49,5,2,98,359,375,345,408,293,"back_to_front"
196,49,5,2,147,475,422,400,566,304,"back_to_front"
196,49,5,2,196,468,490,435,765,308,"back_to_front"
294,49,5,3,73,357,326,338,406,290,"back_to_front"
294,49,5,3,146,478,440,409,592,314,"back_to_front"
294,49,5,3,219,550,522,488,900,307,"back_to_front"
294,49,5,3,292,578,644,562,1293,372,"back_to_front"
